word,sentence
جا,کتاب‌ها را در جا کتاب مخصوصی که گوشه اتاق است، قرار دادیم تا از دسترس کودکان دور باشد.
جا,مادر، جا کفش جدیدی خریده که بسیار بزرگتر از قبلی است و کفش‌های بیشتری در آن جا می‌شود.
جا,بهترین جا برای نگهداری جواهرات گرانبها، گاوصندوق امن و ضد سرقت است.
جا,برای آنکه از گیاهان به خوبی مراقبت کنیم، جا گلدان‌های بزرگ و با فاصله مناسب در بالکن چیدیم.
جا,در آشپزخانه، جا ادویه‌های متنوعی داریم که هر کدام برای نوع خاصی از ادویه‌ها مناسب است.
جا,در کلاس، هر دانش‌آموز باید کتاب‌های خود را در جا کتاب مخصوصی که زیر میز قرار دارد، بگذارد.
جا,برای محافظت از مدارک مهم، یک جا پرونده با قفل رمزدار تهیه کردیم.
جا,در ورودی خانه، یک جا کلید نصب کردیم تا همیشه کلیدها در دسترس باشند.
جا,جا حوله‌های حمام را طوری تنظیم کردیم که پس از استفاده، حوله‌ها به خوبی خشک شوند.
جا,در اتاق کار، یک جا خودکار مخصوص برای نظم دادن به لوازم التحریر قرار دادیم.
جا,در این اتاق فضا برای بیست دانش‌آموز وجود دارد که هرکدام جا، میز و صندلی مخصوص خود را دارند.
جا,وقتی وارد سالن شدیم، دیدیم که جا برای نشستن ما در نظر گرفته نشده بود.
جا,برای هر مهمان، جا مشخصی تعیین شده بود تا هر کس به راحتی بتواند بنشیند.
جا,در این کتابخانه، فضاهای مطالعه‌ای با جا کافی برای هر دانشجو تعبیه شده است.
جا,در ماشین، جا برای گذاشتن وسایل اضافی نبود و مجبور شدیم آن‌ها را در صندوق عقب بگذاریم.
جا,در کنسرت، جا کافی برای همه تماشاچیان فراهم شده بود تا از برنامه لذت ببرند.
جا,برای این مراسم، جا نشستن ویژه‌ای برای مهمانان رسمی در نظر گرفته شده بود.
جا,در این رستوران، جا راحتی برای خانواده‌ها و کودکان فراهم شده است.
جا,در هواپیما، هر مسافر جا مخصوصی دارد که باید بر اساس بلیط خود در آن بنشیند.
