word,sentence
فراش,مجلس کویت برای پایان بخشیدن به آنچه 'بحران زنان مجرد' نامیده شده در سال های قبل پیشنهادی را ارائه داده بود که بر اساس آن، دولت کویت مکلف می شد به کسانی که تجدید فراش کنند مبلغ ۱۵۰۰۰ دلار جایزه پرداخت کند
دورکردن,کد خبر: ۷۰۹۶۶۴   تاریخ انتشار: ۱۳۹۵/۱۲/۱۲ بازی خطرناک ترامپ با روسیه و ایران در خاورمیانه/تلاش برای دورکردن مسکو از تهران اند اما واقعیت آن است که اتحادی استراتژیک میان ایران
خز,"پدر فروید برای آن که به پسر جوان خود نشان دهد که اوضاع یهودیان در وین تا چه حد بهبود یافته، واقعه ای را که در مورد خودش روی داده، برای او تعریف می کند:  ""او گفت:""وقتی جوان بودم، یک روز شنبه رفتم تا در خیابان های زادگاه تو قدم بزنم؛ لباس خوبی پوشیده بودم و کلاه خز نو بر سر داشتم"
ایجادکردن,تبلیغ‌کردن و فضا ایجادکردن و موج‌آفرینی برای  ریاست‌جمهوری، پیچیدگی‌های فراوان مجلس را ندارد
سیه,چابهار رفته ایم جوانک سیه چرده اى راننده ماست که
امدن,وی با بیان اینکه اهداف و راهبردهای اوباما و ترامپ یکی است اظهار داشت: اینها در روشها، تاکتیکها و شل و سفت کردنها و کمرنگ و پررنگ کردن انها متفاوت هستند که البته ما امیدواریم با روی کار امدن با اهداف اعلامی وی به تضعیف رژیم صهیونیستی و کمرنگ شدن این ارتباط و امریکا بیانجامد البته نگرانی ما این است که سیاستهای اعلامی ترامپ یک چیز باشد ولی سیاستهای اعلامی اش یک چیز ولی سیاستهای اعمالی اش یک چیز دیگر یعنی خلاف مواضعی که اعلام کرده اند نحوه اعمال سیاستهایشان به شکل دیگری باشد و جنگ زرگری راه بیفتد
ایین,نسخه قابل چاپ چهارشنبه ۱۲ اسفند ۱۳۹۴ - ۱۴:۵۳:۰۰ به گزارش پایگاه خبری« عصربازار »، حامد مظاهریان در گفتگو با خبرگزاری صداو سیما گفت:ایین‌نامه لیزینگ مسکن در بانک مرکزی نوشته شده و در صف تصویب شورای پول و اعتبار قرار گرفته است و اردیهشت ماه در شورای عالی پول و اعتبار تصمیم گیری می شود
گستردن,بزرگراهی که به منزله گستردن فرش قرمز برای خودروهای شخصی
اهنگ,"سایر عوامل سریال ""دور دست ها"" عبارت اند از:  مدیرتصویر برداری: فریدون شیردل، تصویربردار: محمد نورانی، صدابردار: داوود قلی پور، مدیر برنامه ریزی: روح اله ظریف، دستیاران کارگردان: میثم نجفی، مجتبی صدیقی، نوشین لکزی، مدیر تولید: مجید نصیری، تدوین: علیرضا کمال پور، اهنگ ساز: پیروز ارجمند، طراح صحنه:  حسن علیزاده فرد، طراح لباس: فریبا بانک توکلی، طراح گریم: فرانک گلنوش، عکاس و کارگردان پشت صحنه: وحید پیماندار"
افسونگر,بدون نظر ۲۲ دی ۱۳۹۵ - ۱۴:۴۱ آنونس فیلم سینمایی«افسونگر»؛تماشا کنید آنونس فیلم سینمایی«افسونگر» با نام قبلی «مدعی» را به نویسندگی و کارگردانی حسین تبریزی و تهیه کنندگی مسعود اطیابی تماشا کنید
افسونگر,در خلاصه داستان «افسونگر» آمده است: روایت انسان و انسان-اعمال و کردار-رویارویی خویش با خویشتن-یافتن خود از بیخودی و گذشتن از ناحق به حق-بودن برای زیستن-زیستن برای عشق
افسونگر,در «افسونگر» پژمان بازغی، لیلا اوتادی، نیلوفر شهیدی،… ادامه
طفیلی,اما کشورهای جهان سومی چون عقب مانده اند، فکر میکنند اقتصاد و سیاست مهم است، چون ابزار پیشرفت است و فرهنگ را باید از طفیلی اقتصاد و سیاست بدانند و ریزه… ادامه
فراش,مادر او را دید که در کنار فراش او نشتسته و گریه‌زاری و جزع می‌کند
گند,اینجا هنوز بوی گند بنیتس را می دهد ژوزه مورینیو، در اولین مصاحبه خود پس از پیوستن به چلسی، شمشیر را از رو بست و به شدت به پپ گواردیولا، رافائل بنیتس و سر الکس فرگوسن حمله کرد
دریده,گذاشت روستاییان پسر بچه را با شکم دریده ریه و
سیه,خودش که حرف نمی‌زند، اما پیرمردی سیه‌چرده اطلاعاتی در مورد حاج حسین می‌دهد: وسایلی که هیچ‌‌کس نمی‌تواند درست‌شان کند، او درست می‌کند
پسندیدن,مشتریان ، همراه بانک جدید صادرات را پسندیدن حمید طلیمی بدون دیدگاه تصویر روز: با توجه به ارایه همراه بانک با قابلیت کاربرد اثر انگشت، شمار فراوانی از مشتریان بانک صادرات ایران را که از دستگاه های دارای سیستم عامل Ios استفاده می کنند از کاربران این خدمات پیشرفته بانک قرار داد
درخشیدن,در نتیجه بازیگران به‌ویژه معادی و جواهریان‌، مانند نهنگ‌های بزرگی هستند که قرار است در یک حوض کم‌عمق شنا کنند‌! معادی که آشکارا برای درخشیدن بی‌قرار است‌، فرصتی برای بروز دادن توانایی خود در لحظه‌های عصبیت عاشقانه پیدا نمی‌کند و در نتیجه در نماهایی بی‌ربط‌، رو به بازی اغراق‌آمیز و بیرونی می‌آورد تا عصیان درونی شخصیت را بیرونی کند
نگاشتن,حال این پرسش مطرح است که نگاشتن یک نامه اداری- حقوقی چند روز زمان می‌برد؟ مگر قرار است در این نامه چه مسائلی گنجانده شود که اداره کل میراث فرهنگی استان تهران را یارای نگارش این نامه نبوده است؟! از سویی چرا مسوولان میراث تهران روز شنبه(۲۹ خرداد) عنوان می‌کنند که نیروی یگان به محل اعزام شده و روز سه شنبه اظهار می‌کنند در شُرُف ارسال نیروی یگان به محل هستیم؟! این در حالی است که صبح روز یکشنبه(۳۰ خرداد) در همایش تجلیل از حافظان میراث رجبعلی خسروآبادی – مدیرکل میراث فرهنگی استان تهران- با اشاره به این که میراث فرهنگی یک سرمایه ملی تجدید ناپذیر است، می گوید: سیاست پیشگیرانه و فرهنگ سازی عمومی در صیانت و نگهداری از میراث فرهنگی بسیار راهگشاتر از برخوردهای قهری است
علفی,نکته دوم آن است که محصولات غیر چوبی که از پیکره علفی و خشبی می‌آید جزء حقوق مردم است و نمی‌توان برای آن بهره مالکانه تعیین کرد تا از برداشت این محصولات درآمدی برای مدیریت جنگل کسب شود
