word,farsnet_word,sense_frequency
خط,خط,28
برداشتن,برداشتن,25
سر,سر,24
گرفتن,گرفتن,23
جا,جا,20
زدن,زدن,19
بار,بار,19
کشیدن,کشیدن,19
کار,کار,18
دست,دست,17
دم,دم,16
طرح,طرح,15
خوردن,خوردن,14
بخش,بخش,14
راه,راه,14
درجه,درجه,14
دوره,دوره,14
شیر,شیر,13
پشت,پشت,13
بند,بند,13
ارام,آرام,12
اب,آب,12
رسیدن,رسیدن,12
چیز,چیز,12
انداختن,انداختن,12
زبان,زبان,12
دسته,دسته,12
گاز,گاز,11
ارتباط,ارتباط,11
حساب,حساب,11
جهان,جهان,11
جز,جزئ,11
سرویس,سرویس,11
کرم,کرم,11
واحد,واحد,11
پریدن,پریدن,11
اثر,اثر,11
گذشتن,گذشتن,11
پذیرفتن,پذیرفتن,11
بستن,بستن,11
رشته,رشته,11
میدان,میدان,11
نگهداشتن,نگه‌داشتن,11
گل,گل,11
دنیا,دنیا,11
خواستن,خواستن,10
شانه,شانه,10
ساختن,ساختن,10
پیوند,پیوند,10
خواندن,خواندن,10
ایستادن,ایستادن,10
ردکردن,رد کردن,10
بازی,بازی,10
خانه,خانه,10
پایه,پایه,10
مهر,مهر,10
دل,دل,10
میزان,میزان,10
برگرداندن,برگرداندن,10
نتیجه,نتیجه,10
جمعکردن,جمع کردن,10
نمونه,نمونه,10
مغز,مغز,10
دور,دور,9
زندگی,زندگی,9
بزرگ,بزرگ,9
سال,سال,9
زیر,زیر,9
زمین,زمین,9
انقلاب,انقلاب,9
کندن,کندن,9
کنترل,کنترل,9
کف,کف,9
خیر,خیر,9
ساعت,ساعت,9
گشتن,گشتن,9
مثبت,مثبت,9
زمان,زمان,9
بردن,بردن,9
پرده,پرده,9
برپاکردن,برپا کردن,9
رفتن,رفتن,9
سایه,سایه,9
شکستن,شکستن,9
روز,روز,9
فهمیدن,فهمیدن,9
نظر,نظر,9
سرباز,سرباز,9
گروه,گروه,9
سهم,سهم,9
تار,تار,9
صورت,صورت,9
عملکردن,عمل کردن,8
سبک,سبک,8
گذشته,گذشته,8
عمل,عمل,8
صافکردن,صاف کردن,8
موقعیت,موقعیت,8
پا,پا,8
جایگاه,جایگاه,8
موضوع,موضوع,8
مرکز,مرکز,8
ماده,ماده,8
نیرو,نیرو,8
سطح,سطح,8
قسمت,قسمت,8
بودن,بودن,8
پست,پست,8
پاککردن,پاک کردن,8
سیاست,سیاست,8
صحنه,صحنه,8
بهوجوداوردن,به وجود آوردن,8
گرده,گرده,8
خواباندن,خواباندن,8
عشق,عشق,8
سوختن,سوختن,8
ماندن,ماندن,8
کارکردن,کار کردن,8
قرار,قرار,8
دلیل,دلیل,8
عالم,عالم,8
رشد,رشد,8
ترک,ترک,8
طرف,طرف,8
ادم,آدم,8
امر,آمر,8
جامعه,جامعه,8
حکم,حکم,8
اخر,آخر,8
سمت,سمت,8
محل,محل,8
جمع,جمع,8
درهم,درهم,8
تن,تن,8
کمک,کمک,8
حال,حال,8
دفتر,دفتر,8
کل,کل,8
بازار,بازار,8
رابطه,رابطه,8
روی,روی,8
نقطه,نقطه,8
راست,راست,8
ریال,ریال,8
جریان,جریان,8
مستقیم,مستقیم,8
شاهد,شاهد,8
حاشیه,حاشیه,8
شکل,شکل,8
دین,دین,8
دستی,دستی,8
اصل,اصل,8
انتقالدادن,انتقال دادن,7
کره,کره,7
تیر,تیر,7
بعد,بعد,7
