id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
29820,حساب,حساب,11408,Noun,COGNITION,علوم طبيعي، مهندسي، اقتصاد و پزشکي بسيار به رياضيات تکيه دارد ولي رياضي‌دانان گاه به دلايل صرفاً رياضي (و نه کاربردي) به تعريف و بررسي برخي ساختارها مي‌پردازند.,"علم بررسي اعداد، عمل‌ها، رابطه‌ها، ترکيب‌ها، تعميم‌ها، شکل‌ها، ساختارها، اندازه‌گيري و تبديل‌ها.
ديدگاه ديگري رياضي را دانشي مي‌داند که در آن با استدلال منطقي از اصول و تعريف‌ها به نتايج دقيق و جديدي مي‌رسيم."
29821,حساب,حساب,10331,Noun,ACT,--نامعلوم--:شمارش کتاب‌هاي کتابخانه با شماست. *,--نامعلوم--:عمل محاسبة کميت چيزها را گويند. *
29822,حساب,حساب,10333,Noun,POSSESSION,--نامعلوم--:حساب ما با آن‌ها به چندين سال پيش برمي‌گردد.  *,--نامعلوم--:قرار يا توافقي ميان اشخاص يا مؤسسات براي دادوستد پول و کالا. *
29823,حساب,حساب,10334,Noun,COGNITION,--نامعلوم--:حساب اين اجناس چقدر شد. *,--نامعلوم--:مجموع بهاي اجناس معامله‌شده يا خدمات انجام‌گرفته *
29824,حساب,حساب,10336,Noun,ACT,--نامعلوم--:بر اساس محاسبات حسابرسان قوه قضايي ميزان تخلفات مالي ادارات مشخص مي‌شود. *,--نامعلوم--:چگونگي و فرايند حفظ و رسيدگي به اندازه و مقدار دريافت‌ها و پرداخت‌ها *
29825,حساب,حساب,10338,Noun,POSSESSION,--نامعلوم--:حساب او را برايش فرستادم. *,--نامعلوم--:گزارشي از معاملات و دريافت‌ها و پرداخت‌هاي کسي. *
29826,حساب,حساب,12197,Noun,POSSESSION,--نامعلوم--:حساب او صفر است. *,--نامعلوم--:وجهي که فرد در بانک قرار مي‌دهد و از آن مي‌تواند برداشت کند. *
29827,حساب,حساب,10335,Noun,COMMUNICATION,حساب ما را معين کنيد تا پرداخت نمايم,ميزان بدهي
29828,حساب,حساب,13866,Noun,COMMUNICATION,--نامعلوم--:حسابرسي او از زيردستانش بسيار دقيق است.  *,--نامعلوم--:بازخواست از کسي و رسيدگي به کارهاي او را گويند. *
29831,حساب,حساب,12936,Noun,ATTRIBUTE,--نامعلوم--:رقم افرادي که در انفجار زخمي شدند از 500 گذشت. عدد کشته‌ها بيش از 200 است. *,--نامعلوم--:مقداري قابل‌شمارش *
29832,حساب,حساب,10625,Noun,ACT,--نامعلوم--:محاسبه حاصلضرب اعداد 123 در 2345 برايش دشوار بود. *,--نامعلوم--:روال مشخص نمودن چيزي با روش‌هاي منطقي و رياضي  *
