id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
37690,کار,کار,12781,Noun,ACT,اين کار از تو بعيد بود,عملي  خاص که معمولاً منفي است
37691,کار,کار,13463,Noun,ARTIFACT,سوهان را اين طوري روي کار نمي کشند,"قطعه, وسيله يا چيزي که در حال توليد يا ساخت است"
37692,کار,کار,13011,Noun,COGNITION,--نامعلوم--:او اين موضوع را چندين بار بررسي کرد. *,--نامعلوم--:موقعيت يا رخدادي که درباره‌اش فکر مي‌شود. *
37693,کار,کار,12243,Noun,PROCESS,--نامعلوم--:کار اين ماشين را در شرايط سخت بايد ديد. *,--نامعلوم--:فرايند يا شيوة عمل *
37694,کار,کار,12899,Noun,LOCATION,--نامعلوم--:من هر روز با اتوبوس به سر کار مي‌روم. *,--نامعلوم--:محلي که به شغل خاصي اختصاص يافته‌است. *
37695,کار,کار,13464,Noun,PHENOMENON,"در بسته شد, فکر مي کنم کار باد بود.",اثر يا پيامد رخدادي طبيعي را گويند.
37696,کار,کار,10133,Noun,EVENT,اداره‌ي تفتيش، مأمور رسيدگي به اين کار شده‌است.,رخدادي که اخيراً اتفاق افتاده و جلب توجه کرده‌است.
37697,کار,کار,13007,Noun,ACT,او جاههايي که به کار بيشتري نياز دارد را مشخص کرد,فعاليتي براي ساختن چيزي يا انجام دادن
37698,کار,کار,12803,Noun,ACT,--نامعلوم--:رفتارش با گفتارش همخواني ندارد. من اصلاً از کار تو سر در نمي‌آورم، هر لحظه يک تصميم مي‌گيري. *,--نامعلوم--:آنچه انجام مي‌شود (در مقابل آنچه گفته مي‌شود). *
37699,کار,کار,13462,Noun,COGNITION,--نامعلوم--:نمي‌دانم به اين کار ما چه‌وقت رسيدگي مي‌کنند. *,--نامعلوم--:مسئله و مشکلي که به دست ديگران حل مي‌شود.  *
37700,کار,کار,13465,Noun,PHENOMENON,"گلدان افتاد, فکر مي کنم کار اين گربه ي بازيگوش است",اثر يا پيامد عملي  غيرعمدي واتفاقي
37701,کار,کار,12898,Noun,ARTIFACT,--نامعلوم--:اين کار استاد فرشچيان است. *,--نامعلوم--:آنچه درنتيجة خلاقيت هنري يا علمي به‌وجود آمده باشد. *
37702,کار,کار,10567,Noun,ACT,--نامعلوم--:او کارش را از شاگردي شروع کرد. *,--نامعلوم--:فعاليتي که شخص به‌صورت معمول انجام مي‌دهد و از درآمد آن امرار معاش مي‌کند.  *
37703,کار,کار,13466,Noun,PHENOMENON,--نامعلوم--:کار اين دستگاه را محاسبه کنيد *,--نامعلوم--:کميت فيزيکي برابر حاصلضرب نيرو در جابه‌جايي در امتداد نيرو را گويند. *
37704,کار,کار,12942,Noun,ATTRIBUTE,--نامعلوم--:کار چاقو بريدن اجسام است *,--نامعلوم--:وظيفه و کارکرد چيزي *
37705,کار,کار,10230,Noun,TOPS,کردار فرد بهشت و جهنم او را تعيين مي نمايد,اديان: هر يک از عبادات و يا گناهان که  اجر يا مجازات اخروي دارد
37706,کار,کار,13132,Noun,ACT,--نامعلوم--:کار تعمير ماشين 8 ساعت طول کشيد. کار پايان‌ناپذير ورود داده‌هاي شبکة واژگاني *,--نامعلوم--:آنچه کسي براي انجام آن مزد مي‌گيرد. *
121963,کار,کار,38417,Noun,ACT,--ازخودم--:بعد از دو ماه فعاليت و دوندگي، کاروبارش حسابي رونق گرفت. *,--ازخودم--:کار کردن و درآمد آن و پيشرفت کار *
