id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
32970,طرح,طرح,13596,Noun,ARTIFACT,--نامعلوم--:طرح نقاش از چند خط تشکيل شده بود *,--نامعلوم--:تصوير مقدماتي يا شکل کلي چيزي که معمولاً بدون استفاده از رنگ و به صورت خطوط کم رنگ کشيده مي شود *
32971,طرح,طرح,13597,Noun,COMMUNICATION,طرح تبديل سازمان تربيت بدني به وزارتخانه در دست بررسي است.,آنچه توسط نمايندگان مجلس شورا به مجلس پيشنهاد مي شود تا در صورت تصويب به صورت قانون درآيد
32972,طرح,طرح,11501,Noun,COMMUNICATION,پيشنهاد او بسيار جالب بود,مطلبي که  مطرح شده است مانند راهکاري براي حل مسئله اي
32973,طرح,طرح,13601,Noun,ACT,طرح خدمت در مناطق محروم چگونه است؟,دوره‌ي خاصي که شخص بر اساس يک برنامه ملزم به گذراندن آن است.
32974,طرح,طرح,11500,Noun,COMMUNICATION,پيشنهاد اين موضوع بايد به بعد موکول مي شد,عمل مطرح نمودن موضوعي براي آن که بررسي و پذيرفته شود
32975,طرح,طرح,13605,Noun,COMMUNICATION,طرح چنين سوالات ساده اي از جانب استاد بعيد بود.* طراحي سوالات کنکور امسال به عهده دو نفر از معلمان مدرسه ما گذاشته شده است.,تدوين کردن مجموعه ي پرسشها و سئوالات براي آزمون
32976,طرح,طرح,13600,Noun,COMMUNICATION,--نامعلوم--:طرح داريد که وارد محدوده شديد؟ *,--نامعلوم--:مجوز ورود خودروهاي شخصي به محدوده ي طرح ترافيک  *
32977,طرح,طرح,12335,Noun,SHAPE,طرح هندسي اين عمارت را ديروز برايم آوردند.,ترکيبي از نقاط، خطوط و سطوح را گويند.
32978,طرح,طرح,12786,Noun,ARTIFACT,بر روي در کالسکه نقش زيبايي رسم شده‌بود.,تزئيني که بر روي جايي با استفاده از خطوط و علائم ايجاد مي‌نمايند.
32979,طرح,طرح,13028,Noun,COGNITION,پروژه اي چهار مرحله اي تصويب گرديد,مجموعه اي از کارها و فعاليتها که طرح ريزي شده و بايد در زمان خاص انجام شود
32980,طرح,طرح,13604,Noun,COGNITION,او در سرودن طرح متبحر است,در شعر معاصر نوعي شعر کوتاه وصفي که شاعر در سرودن آن به ايجاز توجه دارد
32982,طرح,طرح,13599,Noun,SHAPE,"اين زمين در طرح است, نمي توان در آن خانه ساخت",محدوده يا منطقه اي که براي توسعه يا برطرف کردن برخي معضلات آن برنامه ي خاصي در نظر گرفته شده است
32983,طرح,طرح,13598,Noun,ARTIFACT,مهندسان مي توانند با استفاده از نرم افزارهاي طراحي حرفه اي اقدام به کشيدن نقشه هاي ساختماني به صورت سه بعدي نمايند.,نقشه يا تصوير ساختمان، دستگاه يا ابزار که در آن تمام جزئيات نشان داده مي شود.
32984,طرح,طرح,13602,Noun,ARTIFACT,طرح و نقش فرش ايراني بي شک يکي از زيباترين و منحصربه فرد ترين طرح فرش‌هاي دنياست.,"در قالي بافي , مجموعه اي از شکلها در بافت که بيشتر نمايانگر محل بافت آن است"
32985,طرح,طرح,13603,Noun,COGNITION,--نامعلوم--: طرح پژوهشي او  علمي و کاربردي است و در بخش صنعت قابل اجرا است. *,"--ساير--:مجموعه‌اي همگون از فعاليت‌هاي علمي و فني با محدوديت زماني و زمانبندي مشخص با اهداف مشخص تحقيق و توسعه که توسط فرد يا مجموعه‌اي از کارکنان علمي و فني اجرا مي‌شود. 
 *"
