id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
30621,دست,دست,13141,Noun,EVENT,--نامعلوم--:من چندين بار اين مسئله را به شما تذکر دادم.  * --نامعلوم--:نرده‌ها را دو دست رنگ زدند. *,--نامعلوم--:يک نمونه يا مورد از وقوع يک رويداد را گويند. *
30622,دست,دست,10741,Noun,ACT,تا پايان کار دست ياري شما پشتوانه ي ماست.* پسر دست پدر در انجام کارهاست,کمک فيزيکي
30624,دست,دست,13544,Noun,ACT,من دو دست شطرنج برده ام,"هر دور بازي به ويژه در بازي شطرنج, تخته نرد و ورق"
30625,دست,دست,13545,Noun,COMMUNICATION,در اين کودتا دست بيگانگان پيداست,سياست مبتني بر دخالت در امور کشورهاي ديگر
30626,دست,دست,13549,Noun,PERSON,تازگي ها در همه ي کارها دست  زياد شده است,افرادي که در يک مجموعه يا گروه شغلي، باهم به رقابت مي پردازند
30627,دست,دست,13199,Noun,GROUP,يک دست دندان. يک دست کتاب سال دوم راهنمايي,مجموعه اي از وسايل يا قطعه هاي مرتبط به هم
30628,دست,دست,11379,Noun,COGNITION,اين بيماري شکل جديدي از آنفولانزاي  پرندگان است* از اين دست خلافها فراوان شده است,همه ي انچه در يک مجموعه باشند و با وجود اشتراکات گروهي، اختلافات جزيي داشته باشند
30629,دست,دست,28384,Noun,GROUP,دو دست ورق نو خريد.* ديروز رفتم بازار؛ يک دست بشقاب خريدم.,مجموعه‌ي کاملي از يک چيز
30630,دست,دست,11699,Noun,GROUP,دست من خوب نيست,مجموعه ي ورقهايي که کسي در بازي هايي مانند ورق بازي دارد
30631,دست,دست,14226,Noun,ACT,او در چنگال دشمن اسير است,وضعي که فرد فاقد آزادي است و نمي‌تواند با اراده و اختيار هر کاري مي‌خواهد انجام دهد
30632,دست,دست,13548,Noun,ACT,اموال بسياري را از دست ضعفا خارج نموده اند.,در مالکيت داشتن چيزي را گويند.
30633,دست,دست,13539,Noun,ANIMAL,دست الاغ شکست,هر يک از دو پاي جلوي چهارپايان
30634,دست,دست,13542,Noun,FOOD,ده دست چلوکباب,واحد شمارش بعضي غذاها
30635,دست,دست,13537,Noun,BODY,--نامعلوم--:کف دستش زخم شده بود *,--نامعلوم--:بخش انتهايي هر يک از دو عضو طرفين بالا تنه انسان، پايين‌تر از مچ، شامل کف و پنج انگشت *
30636,دست,دست,13541,Noun,GROUP,يک دست لباس نو خريدم.,مجموعه‌ي کاملي از لباس يا واحد شمارش لباس را گويند.
30637,دست,دست,11880,Noun,LOCATION,آنها سمت راست مسجد نشسته اند. دست چپ خيابان,محلي که با توجه به مرکز يا مکان مورد اشاره شناسايي مي گردد
30638,دست,دست,13538,Noun,BODY,--نامعلوم--:دست‌هايش را بالا برد و تسليم شد. *,--نامعلوم--:هر يک از دو عضو دو طرف بدن، متصل به شانه، از سر شانه تا آرنج *
