id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
30751,دل,دل,14826,Noun,LOCATION,او در دل تاريکي شب قدم مي زد، او سکه را در دل خاک پنهان کرد,ميان و بطن و درون هر چيز
30752,دل,دل,11297,Noun,BODY,--نامعلوم--:بالاي شکم او درد مي کند *,"--نامعلوم--:بخشي از تنه ي جانوران بين سينه و لگن که معده , روده, کبد , طحال  و کليه در درون آن است *"
30753,دل,دل,10071,Noun,ATTRIBUTE,--نامعلوم--:او با شجاعت تمام براي نجات بچه به داخل آب پريد. *,--نامعلوم--:اقدام کردن به کاري با ناديده گرفتن ملاحظات و موانع را گويند. *
30754,دل,دل,14828,Noun,COGNITION,در تصوف واژه ي دل در معاني غير مادي به فرواني به کار برده مي شود,آن بخش از وجود آدمي که محل دريافت و ادراک حقايق الهي يا اسرار معرفت است
30756,دل,دل,13561,Noun,COGNITION,من اين مسئله را در نظر دارم. او همه ي غمها را در دل خود انباشته است,قدرت و توانايي حفظ تجربيات
30757,دل,دل,14827,Noun,ARTIFACT,دل را بريد,در ورق بازي يکي از نقشهاي چهارگانه ي ورق به شکل قلب و به رنگ قرمز
30758,دل,دل,14825,Noun,FOOD,دل گوسفند بسيار مقوي است,نوعي غذا که از اندام حيوانات اهلي تهيه مي شود
63308,دل,دل,26686,Noun,BODY,قلب انسان به طور متوسط حدود ۷۰ بار در دقيقه مي‌تپد.,دل يا قلب نوعي عضو عضلاني در انسان‌ها و ديگر حيوانات است که خون را از طريق رگ خوني در دستگاه گردش خون به گردش در مي‌آورد
65276,دل,دل,27442,Noun,OBJECT,--نامعلوم--:ستاره آلفاي صورت فلکي دلو، سعدالملک (خوشبختي شاه) ناميده شده و دقيقاً بر روي استواي سماوي قرار مي‌گيرد.  *,--نامعلوم--:يکي از صورت‌هاي فلکي منطقةالبروج در نيمکره جنوبي بين جدي و حوت  *
65279,دل,دل,27443,Noun,LOCATION,--نامعلوم--: ميانگين شبانه‌روز لحظه تحويل برج دلو ساعت ۱۶:۴۴ روز ۳۰ دي است. *,--نامعلوم--:يازدهمين برج فلکي از دايرةالبروج است. اين برج خط سير خورشيد در بهمن ماه به مدت ۲۹روز و ۱۴ساعت و ۰۸دقيقه است. *
