id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
25449,سر,سر,13702,Noun,COMMUNICATION,--نامعلوم--:اين مسئله همچون رازي بين آن دو ماند. *,--نامعلوم--:هر چيزي که ديگران نبايد از آن خبردار شوند. *
25450,سر,سر,11469,Noun,COMMUNICATION,رمز رسيدن به موفقيت خودشناسي است.,اطلاعات لازم براي موفقيت و پيشرفت در کار يا هدفي
25451,سر,سر,13700,Noun,PERSON,--نامعلوم--:سر چارلز دوم فرزند خلع‌حکومت‌شدة ريچارد، پادشاه بريتانيا بود. *,--نامعلوم--:لقب اشراف‌زاده‌هاي مرد قبل از شواليه و بارون. *
25452,سر,سر,13701,Noun,COGNITION,--نامعلوم--:اين سر را تا کنون کسي نتوانسته است بگشايد. *,--نامعلوم--:آنچه کسي نتوانسته آن را بفهمد و از آن سر در بياورد.  *
25607,سر,سر,10152,Noun,PERSON,دو تن وارد مدرسه شدند. هشت سر عائله دارد. بليط هر نفر 1000 تومان است,واحد شمارش انسان
25608,سر,سر,12689,Noun,TIME,--نامعلوم--:او از بدو امر به مشکلات راهي که انتخاب نموده بود آگاه بود. * --ساير--:از سر ماه حقوقم زياد مي‌شود. *,--نامعلوم--:زماني‌که قرار است مرحلة نخستين کاري به‌وقوع بپيوندد.  *
25609,سر,سر,27676,Noun,BODY,--نامعلوم--:سرم را اصلاح کردم. * --نامعلوم--:او گيسوي خود را مرتب نموده بود. *,--نامعلوم--:مويي که در قسمت فوقاني پوست جمجمه انسان مي‌رويد. *
25610,سر,سر,12614,Noun,TIME,--نامعلوم--:از آن روز به بعد اعتمادم را به او از دست دادم.  * --نامعلوم--:سر کلاس چرت مي زند.  * --نامعلوم--:گاه جنگ عده‌اي از شدت خستگي بر زمين مي‌افتادند. *,--نامعلوم--:نقطه يا دوره‌اي از زمان را گويند. *
25611,سر,سر,13695,Noun,ARTIFACT,--نامعلوم--:سر بطري را زير شير آب گرم بگير تا باز شود. *,--نامعلوم--:دهانة چيزي که معمولاً رو به بالا باز و بسته مي‌شود. *
25612,سر,سر,12972,Noun,COGNITION,--ازخودم--:نيم ساعت آخر کلاس مغزم هنگ کرده بود و کار نمي‌کرد. *,--نامعلوم--:مجموعه يي است با يک فرماندهي واحد که مغز ناميده مي‌شود. هوش ذاتي و دانايي آموختني و آگاهي‌هاي دريافتي از انديشه، ادراک، حافظه، احساسات، اميال، تخيل مجموعاً در تشکلي به اسم مغز (رفتارهاي تازهٔ ارادي) و (رفتارهاي تکراري و عادي شده) انسان را فرماندهي مي‌کنند *
25613,سر,سر,10340,Noun,COGNITION,--نامعلوم--:او قصد شروع به کار ندارد. *,--نامعلوم--:خواست و اراده انجام کاري را داشتن. *
25615,سر,سر,11887,Noun,LOCATION,--نامعلوم--:کمباين فقط سر گندمها را مي چيد. عنوان بايد در سربرگ نوشته مي شد. روي ديوار ايستاده بود. *,--نامعلوم--:بخش بالايي هر چيزي *
25616,سر,سر,13697,Noun,LOCATION,از سر خيابان پياده آمدم,ابتداي هر مکان
25617,سر,سر,13361,Noun,PERSON,--نامعلوم--:رئيس کل عمليات. سر طايفه *,--نامعلوم--:کسي که مسئوليت اداره ي جايي يا گروهي را بر عهده دارد *
25618,سر,سر,11886,Noun,LOCATION,--نامعلوم--:نوک تير در بدن پهلوان فرو رفته بود  *,--نامعلوم--:انتهاي تيز چيزي که داراي طول باشد *
25619,سر,سر,13698,Noun,LOCATION,ديروز سر مزار مادرم رفتم و فاتحه خواندم.,بالين گوري
25620,سر,سر,13699,Noun,Nothing,سر  8 مي بينمتان,زمان دقيق
25621,سر,سر,26356,Noun,BODY,--نامعلوم--:سگ کوچولو کله‌اش را از پنجره بيرون آورد. *,--نامعلوم--:بالاترين يا جلوآمده‌ترين بخش بدن مهره‌داران شامل صورت و مغز و چشم‌ها  *
25622,سر,سر,13271,Noun,LOCATION,--نامعلوم--:جعبة بلندي به دست من رسيد که روي دو سر آن دو علامت ضربدر بود.  *,--نامعلوم--:سطحي که در دو انتهاي يک شيء سه‌بعدي قرار دارد. *
25624,سر,سر,10268,Noun,RELATION,--نامعلوم--:سپاهيان از هر سو به او يورش آوردند *,--نامعلوم--:امتداد و راستاي قرار گرفتن يا حرکت چيزي يا کسي *
25625,سر,سر,10189,Noun,LOCATION,--نامعلوم--:او بر لب جوي آواز مي‌خواند. * --ساير--:او بر سر سفره نشست. *,--نامعلوم--:جايي با فاصلة اندک از کسي يا چيزي. *
25627,سر,سر,13696,Noun,LOCATION,سر طناب را بگيريد و بکشيد,هر يک از دو بخش انتهايي چيزي
25628,سر,سر,11847,Noun,LOCATION,گوشه هاي ميز را بگيريد تا جابجايش کنيم,حدهاي يک سطح
64801,سر,سر,1270,Adjective,material,جاده لغزنده,ويژگي آنچه رونده بر آن بلغزد
