word,sentence
بازی,بازی پشت پرده جناح‌های سیاسی هنوز در جریان است و همه منتظر نتیجه نهایی هستند.
بازی,او در بازی سیاست بسیار ماهر است و توانسته جایگاه خود را تقویت کند.
بازی,رقابت و بازی قدرت در شرکت‌های بزرگ به شدت بالاست و هر روز شاهد تغییرات زیادی هستیم.
بازی,بازی پشت پرده این قرارداد تجاری بسیار پیچیده است و باید به دقت بررسی شود.
بازی,بازی سیاسی در این کشور همیشه باعث شگفتی و تغییرات غیرمنتظره می‌شود.
بازی,بازی پشت پرده این تصمیمات اقتصادی نشان می‌دهد که قدرت واقعی در دست کیست.
بازی,در این بازی سیاسی، هیچ‌کس به جز برنده نهایی از نتیجه خبر ندارد.
بازی,بازی پشت پرده در انتخابات اخیر باعث شد تا نتایج غیرمنتظره‌ای به دست آید.
بازی,بازی پیچیده‌ی اقتصادی این کشور باعث شده تا سرمایه‌گذاران محتاط‌تر عمل کنند.
بازی,بازی سیاسی در این دولت نشان می‌دهد که سیاستمداران همیشه به دنبال منافع شخصی خود هستند.
بازی,برای این بازی، میدانی به ابعاد 2 متر در 3 متر نیاز است و هر تیم باید دو بازیکن داشته باشد.
بازی,بازی بسکتبال امشب بسیار هیجان‌انگیز بود و تیم ما توانست با نتیجه‌ی ۹۰ به ۸۵ برنده شود.
بازی,بازی فوتبال به دلیل باران شدید لغو شد و به زمان دیگری موکول گردید.
بازی,داور در طول بازی چندین بار به بازیکنان هشدار داد که قوانین را رعایت کنند.
بازی,مسابقه شطرنج امسال بسیار پرهیجان بود و هر دو بازیکن تا آخرین لحظه جنگیدند.
بازی,بازی والیبال ساحلی یکی از محبوب‌ترین رقابت‌های تابستانی است که هر سال برگزار می‌شود.
بازی,در این بازی، تیمی که بتواند بیشترین امتیاز را کسب کند، برنده خواهد بود.
بازی,بازی تنیس روی میز بین دو تیم بسیار نزدیک و پر از هیجان بود.
بازی,بازی کریکت امروز بسیار طولانی بود و تا نیمه‌شب ادامه داشت.
بازی,بازی بدمینتون در پارک محله همیشه جمعیت زیادی را به خود جذب می‌کند.
بازی,بازی را که مربی برای امشب در نظر گرفته، هیچ‌کس نمی‌داند و همه منتظر اعلام آن هستند.
بازی,استراتژی جدید تیم در بازی امشب باعث شگفتی همه شد و برنده‌ی مسابقه شدند.
بازی,مربی تیم فوتبال برای بازی فردا برنامه‌ای دقیق و منظم طراحی کرده است.
