id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
30532,درجه,درجه,12933,Noun,ATTRIBUTE,درجه‌ي رفاقت آنها خيلي بالاست. *عالي‌ترين سطح مراقبت اعمال شد.,حد و اندازه‌ي چيزي را گويند.
30533,درجه,درجه,14909,Noun,STATE,دادگاه با يک درجه تخفيف حکم زندان ابد به متهم داد,مرحله اي از يک مجموعه يا سلسله که داراي شدت و ضعف است
30534,درجه,درجه,14911,Noun,STATE,--نامعلوم--:درجه سرگردي چند تا ستاره دارد؟ *,--نامعلوم--:نشان و علامتي که بر اساس رتبه نظامي روي لباس نيروهاي نظامي نصب مي‌کنند. *
30535,درجه,درجه,14912,Noun,QUANTITY,اين زاويه 45 درجه است,واحد اندازه گيري زاويه و کمان معادل يک سيصد و شصتم يک دور کامل
30536,درجه,درجه,12380,Noun,STATE,--نامعلوم--:زبانشناسي در چه جايگاهي در ميان علوم قرار دارد *,--نامعلوم--:موقعيت مشخص و قابل تشخيص بر روي طيف يا در يک سري يا در يک فرايند  *
30537,درجه,درجه,14916,Noun,COGNITION,--نامعلوم--:اين معادله درجه دو است. * --ازخودم--:درجه اين معادله سه است. *,--نامعلوم--:بالاترين توان مجهول در هر معادله پس از تبديل معادله به ساده‌ترين صورت *
30539,درجه,درجه,14915,Noun,COGNITION,--نامعلوم--:درجه اين يک‌جمله‌اي را معين نماييد. *,--نامعلوم--:مجموع توان‌هاي حروف تشکيل‌دهنده يک يک‌جمله‌اي *
30540,درجه,درجه,14914,Noun,ARTIFACT,درجه ي آب بالا رفته است,هر يک از عقربه هاي واقع در روي داشبورد خودرو که وضعيتي را نشان مي دهد
30541,درجه,درجه,14917,Noun,ARTIFACT,درجه ها را عوض کرديم,هر يک از دو جعبه ي سر و ته باز چوبي يا فلزي که در ريخته گري به کار مي رود
30542,درجه,درجه,13031,Noun,ACT,--نامعلوم--:او پست بالايي در سازمان دارد. * --نامعلوم--: چرا موقعيت کاري دلخواه خود را پيدا نمي کنيم؟  *,--نامعلوم--:شغلي در يک سازمان را گويند. *
30543,درجه,درجه,12270,Noun,PROCESS,با وجود دماي 40 درجه مسابقه انجام شد,يکي از واحدهاي اندازه گيري دما
30544,درجه,درجه,14910,Noun,STATE,--نامعلوم--:درجه سرهنگي به او اهدا شد. *,--نامعلوم--:رتبه و مقام نظامي را گويند. *
30545,درجه,درجه,14913,Noun,ARTIFACT,--نامعلوم--:درجه را زير زبانتان قرار دهيد *,--نامعلوم--:وسيله اي که در زير زبان يا زير بغل مي گذارند تا دماي تقريبي بدن را اندازه مي گيرند  *
30546,درجه,درجه,14908,Noun,COMMUNICATION,او درجه ي دکترا دريافت نمود.,نشان يا نوشته اي که به کسي که در مدرسه، دانشگاه يا دانشکده رشته اي را با موفقيت مي گذراند اعطا مي نمايند.
